0,1) # Days with AQI ,2) # Days Good,3) # Days Moderate,4) # Days Unhealthy for Sensitive Groups,5) # Days Unhealthy,6) # Days Very Unhealthy,7) # days Hazerdous,8) AQI Max,9) AQI 90th %ile,AQI Median,# Days CO,# Days NO2,# Days 03,# Days PM2.5,# Days PM10,17,,Average AQI Vs ,Year,Year (Avg),1) Average # Days with AQI ,2)  Average # Days Good,3) # Days Moderate,4) # Days Unhealthy for Sensitive Groups,5)  Average #  Average Days Unhealthy,6)  Average # Days Very Unhealthy,7)  Average # days Hazerdous,8)  Average AQI Max,9)  Average AQI 90th %ile, Average AQI Median, Average # Days CO, Average # Days NO2,#  Average Days 03,#  Average Days PM2.5,#  Average Days PM10
Maine,230,221,9,0,0,0,0,67,45,35,0,4,188,38,0,120,,100,2020,5,306.56,268.24,37.8,0.52,0,0,0,93.16,50.88,34.88,0,0.84,188.04,116.24,1.44
,363,338,25,0,0,0,0,76,47,33,0,0,182,179,2,0,,,2020,2020,293.4,258,35.4,0,0,0,0,76.2,48.8,34.9,0,1.8,161.2,129.6,0.8
,360,327,33,0,0,0,0,70,49,33.5,0,0,135,224,1,0,,,2020,2021,307.6,272,34.4,1.2,0,0,0,113.6,50.8,34.6,0,0.8,195.2,109.6,2
,366,262,104,0,0,0,0,97,58,42,0,5,153,207,1,0,,,2020,2022,299.2,274.2,24.4,0.6,0,0,0,94.8,48.4,33.3,0,0.6,203.2,94.2,1.2
,148,142,6,0,0,0,0,71,45,31,0,0,148,0,0,0,,,2020,2023,336.4,277.8,58,0.6,0,0,0,93,55.8,36.2,0,1,186.8,146.8,1.8
,244,226,17,1,0,0,0,125,47,33,0,0,204,38,2,121,,,2021,2024,296.2,259.2,36.8,0.2,0,0,0,88.2,50.6,35.4,0,0,193.8,101,1.4
,362,326,36,0,0,0,0,100,50,33,0,0,193,168,1,0,,,2021,1750.85%,905.03%,1230.77%,46.04%,0.00%,0,0,13.53469615,294.82%,1.070980859,0.00%,0.654217089,16.09496816,21.64781744,0.477493455,
,356,303,53,0,0,0,0,95,53,36,0,0,108,244,4,0,,,2021,,,,,,,,,,,,,,,,
,365,313,49,3,0,0,0,129,54,36,0,4,260,98,3,0,,,2021,,,,,,,,,,,,,,,,
,211,192,17,2,0,0,0,119,50,35,0,0,211,0,0,0,,,2021,,,,,,,,,,,,,,,,
,203,194,9,0,0,0,0,84,46,30,0,0,162,39,2,122,,,2022,,,,,,,,,,,,,,,,
,361,324,37,0,0,0,0,87,51,33,0,0,172,189,0,0,,,2022,,,,,,,,,,,,,,,,
,358,327,31,0,0,0,0,97,48,32,0,0,194,162,2,0,,,2022,,,,,,,,,,,,,,,,
,362,320,39,3,0,0,0,126,52,37,0,3,276,81,2,0,,,2022,,,,,,,,,,,,,,,,
,212,206,6,0,0,0,0,80,45,34.5,0,0,212,0,0,0,,,2022,,,,,,,,,,,,,,,,
,299,242,57,0,0,0,0,92,59,37,0,0,130,167,2,123,,,2023,,,,,,,,,,,,,,,,
,358,294,64,0,0,0,0,89,55,35,0,0,158,198,2,0,,,2023,,,,,,,,,,,,,,,,
,359,296,63,0,0,0,0,77,55,35,0,0,149,209,1,0,,,2023,,,,,,,,,,,,,,,,
,365,261,101,3,0,0,0,120,66,41,0,5,196,160,4,0,,,2023,,,,,,,,,,,,,,,,
,301,296,5,0,0,0,0,87,44,33,0,0,301,0,0,0,,,2023,,,,,,,,,,,,,,,,
,305,254,51,0,0,0,0,77,53,36,0,0,134,171,0,124,,,2024,,,,,,,,,,,,,,,,
,271,245,26,0,0,0,0,74,49,35,0,0,179,90,2,0,,,2024,,,,,,,,,,,,,,,,
,305,281,24,0,0,0,0,77,48,33,0,0,168,136,1,0,,,2024,,,,,,,,,,,,,,,,
,305,233,71,1,0,0,0,129,59,40,0,0,193,108,4,0,,,2024,,,,,,,,,,,,,,,,
,295,283,12,0,0,0,0,84,44,33,0,0,295,0,0,0,,,2024,,,,,,,,,,,,,,,,
